,precision,recall,f1-score,support
WALKING,0.8903345724907064,0.9657258064516129,0.9264990328820116,496.0
WALKING_UPSTAIRS,0.8976545842217484,0.8938428874734607,0.8957446808510638,471.0
WALKING_DOWNSTAIRS,0.9631578947368421,0.8714285714285714,0.915,420.0
SITTING,0.9166666666666666,0.8961303462321792,0.9062821833161689,491.0
STANDING,0.9060773480662984,0.924812030075188,0.9153488372093024,532.0
LAYING,1.0,1.0,1.0,537.0
accuracy,0.9280624363759755,0.9280624363759755,0.9280624363759755,0.9280624363759755
macro avg,0.9289818443637103,0.9253232736101688,0.9264791223764245,2947.0
weighted avg,0.9290953700094713,0.9280624363759755,0.9279570405137145,2947.0
